Interval,GMTIntervalEnd,STLF,MTLF,Actual Load,STWF,MTWF,Actual Wind, STSF, MTSF, Actual Solar
02/21/2023 04:05:00,02/21/2023 10:05:00,,,,,,,,,
02/21/2023 04:00:00,02/21/2023 10:00:00,,27005.249,,,18850.900,,,0.000,
02/21/2023 03:55:00,02/21/2023 09:55:00,,,,,,,,,
02/21/2023 03:50:00,02/21/2023 09:50:00,,,,,,,,,
02/21/2023 03:45:00,02/21/2023 09:45:00,,,,,,,,,
02/21/2023 03:40:00,02/21/2023 09:40:00,,,,,,,,,
02/21/2023 03:35:00,02/21/2023 09:35:00,,,,,,,,,
02/21/2023 03:30:00,02/21/2023 09:30:00,,,,,,,,,
02/21/2023 03:25:00,02/21/2023 09:25:00,,,,,,,,,
02/21/2023 03:20:00,02/21/2023 09:20:00,,,,,,,,,
02/21/2023 03:15:00,02/21/2023 09:15:00,,,,,,,,,
02/21/2023 03:10:00,02/21/2023 09:10:00,,,,,,,,,
02/21/2023 03:05:00,02/21/2023 09:05:00,,,,,,,,,
02/21/2023 03:00:00,02/21/2023 09:00:00,,26886.781,,,18542.700,,,0.000,
02/21/2023 02:55:00,02/21/2023 08:55:00,,,,,,,,,
02/21/2023 02:50:00,02/21/2023 08:50:00,,,,,,,,,
02/21/2023 02:45:00,02/21/2023 08:45:00,,,,,,,,,
02/21/2023 02:40:00,02/21/2023 08:40:00,,,,,,,,,
02/21/2023 02:35:00,02/21/2023 08:35:00,,,,,,,,,
02/21/2023 02:30:00,02/21/2023 08:30:00,,,,,,,,,
02/21/2023 02:25:00,02/21/2023 08:25:00,,,,,,,,,
02/21/2023 02:20:00,02/21/2023 08:20:00,,,,,,,,,
02/21/2023 02:15:00,02/21/2023 08:15:00,,,,,,,,,
02/21/2023 02:10:00,02/21/2023 08:10:00,,,,,,,,,
02/21/2023 02:05:00,02/21/2023 08:05:00,,,,,,,,,
02/21/2023 02:00:00,02/21/2023 08:00:00,,26831.794,,,18299.760,,,0.000,
02/21/2023 01:55:00,02/21/2023 07:55:00,,,,,,,,,
02/21/2023 01:50:00,02/21/2023 07:50:00,,,,,,,,,
02/21/2023 01:45:00,02/21/2023 07:45:00,,,,,,,,,
02/21/2023 01:40:00,02/21/2023 07:40:00,,,,,,,,,
02/21/2023 01:35:00,02/21/2023 07:35:00,,,,,,,,,
